city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
rohtak,/school/rohtak/kingaposs-college-india-sector-5,https://yellowslate.com/school/rohtak/kingaposs-college-india-sector-5,King&apos;s College India - Sector-5 ,0,149,0,+919513238818,IGCSE,2016,Boarding Schools,000 - 150,Co-Education,Sector-5,
rohtak,/school/rohtak/delhi-public-school-jindroad,https://yellowslate.com/school/rohtak/delhi-public-school-jindroad,DELHI PUBLIC SCHOOL - JINDROAD ,0,137,0,+919513238818,CBSE,2003,Boarding Schools,,Co-Education,JINDROAD,
rohtak,/school/rohtak/gd-goenka-international-school-sonipat-road,https://yellowslate.com/school/rohtak/gd-goenka-international-school-sonipat-road,G.D Goenka International School - Sonipat Road ,4.8,127,150,+919513238818,"CBSE, IGCSE",2014,Boarding Schools,400 - 162,Co-Education,Sonipat Road,
rohtak,/school/rohtak/international-bharti-school-5thmilestone,https://yellowslate.com/school/rohtak/international-bharti-school-5thmilestone,International Bharti School - 5thMileStone ,0,119,0,+919513238818,CBSE,1999,Day Schools,,Co-Education,5thMileStone,
rohtak,/school/rohtak/gurukul-high-school-bhaiyapur-ladhout-ladhout,https://yellowslate.com/school/rohtak/gurukul-high-school-bhaiyapur-ladhout-ladhout,GURUKUL HIGH SCHOOL BHAIYAPUR LADHOUT - Ladhout ,0,117,0,+919513238818,CBSE,1991,Boarding Schools,000 - 112,Boys,Ladhout,
rohtak,/school/rohtak/duhan-public-school-jassia,https://yellowslate.com/school/rohtak/duhan-public-school-jassia,DUHAN PUBLIC SCHOOL - JASSIA ,0,110,0,+919513238818,CBSE,2011,Boarding Schools,,Co-Education,JASSIA,
rohtak,/school/rohtak/model-school-haryana-ambedkar-chowk,https://yellowslate.com/school/rohtak/model-school-haryana-ambedkar-chowk,Model School Haryana - Ambedkar Chowk ,3.8,0,77,+919513238818,CBSE,1952,Day Schools,Nursery - 12,Co-Education,Ambedkar Chowk,
rohtak,/school/rohtak/orchids-the-international-l-rohtak-gohana-rd,https://yellowslate.com/school/rohtak/orchids-the-international-l-rohtak-gohana-rd,Orchids The International l Rohtak - Gohana Rd ,0,0,0,+919513238818,CBSE,,,Nursery - 12,Co-Education,Gohana Rd,
