city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
sonipat,/school/sonipat/shri-ram-modern-senior-secondary-school-housingboardcolony,https://yellowslate.com/school/sonipat/shri-ram-modern-senior-secondary-school-housingboardcolony,Shri Ram Modern Senior Secondary School - HousingBoardColony ,0,164,0,+919513238818,CBSE,1994,Boarding Schools,600 - 33,Co-Education,HousingBoardColony,
sonipat,/school/sonipat/motilal-nehru-school-of-sports-rai,https://yellowslate.com/school/sonipat/motilal-nehru-school-of-sports-rai,Motilal Nehru School of Sports - Rai ,0,156,0,+919513238818,CBSE,1973,Boarding Schools,,Co-Education,Rai,
sonipat,/school/sonipat/landmark-international-school-gohana,https://yellowslate.com/school/sonipat/landmark-international-school-gohana,LANDMARK INTERNATIONAL SCHOOL - Gohana ,0,144,0,+919513238818,CBSE,2014,Boarding Schools,,Co-Education,Gohana,
sonipat,/school/sonipat/j-p-jain-senior-secondry-school-shivcolony,https://yellowslate.com/school/sonipat/j-p-jain-senior-secondry-school-shivcolony,J P JAIN SENIOR SECONDRY SCHOOL - ShivColony ,0,134,0,+919513238818,CBSE,1990,Boarding Schools,000 - 40,Co-Education,ShivColony,
sonipat,/school/sonipat/delhi-public-school-palri-kalan,https://yellowslate.com/school/sonipat/delhi-public-school-palri-kalan,Delhi Public School - Palri Kalan ,0,126,0,+919513238818,CBSE,2005,Boarding Schools,,Co-Education,Palri Kalan,
sonipat,/school/sonipat/bal-bhavan-international-school-gannaur,https://yellowslate.com/school/sonipat/bal-bhavan-international-school-gannaur,Bal Bhavan International School - Gannaur ,0,115,0,+919513238818,CBSE,2015,Boarding Schools,,Co-Education,Gannaur,
sonipat,/school/sonipat/geetanjali-senior-secondary-school-barwasni-hullahri,https://yellowslate.com/school/sonipat/geetanjali-senior-secondary-school-barwasni-hullahri,GEETANJALI SENIOR SECONDARY SCHOOL - Barwasni Hullahri ,0,86,0,+919513238818,CBSE,2013,Boarding Schools,,Co-Education,Barwasni Hullahri,
sonipat,/school/sonipat/gd-goenka-palri-kalan,https://yellowslate.com/school/sonipat/gd-goenka-palri-kalan,GD Goenka - Palri Kalan ,0,0,0,+919513238818,"CBSE, Other Boards, State Board",2002,"Boarding Schools, Public Schools",Nursery - 12,Co-Education,Palri Kalan,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
