city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
guntur,/school/guntur/loyola-public-school-nallapadu-rural,https://yellowslate.com/school/guntur/loyola-public-school-nallapadu-rural,Loyola Public School - Nallapadu Rural ,0,119,0,+919513238818,"ICSE, CBSE",1964,Boarding Schools,000 - 70,Co-Education,Nallapadu Rural,
guntur,/school/guntur/viva-the-school-gollamudi,https://yellowslate.com/school/guntur/viva-the-school-gollamudi,VIVA THE SCHOOL - Gollamudi ,0,104,0,+919513238818,"CBSE, IB",2016,Boarding Schools,,Co-Education,Gollamudi,
guntur,/school/guntur/sri-rama-rural-academy-eepuru,https://yellowslate.com/school/guntur/sri-rama-rural-academy-eepuru,Sri Rama Rural Academy - Eepuru ,0,93,0,+919513238818,"CBSE, State Board",1949,Boarding Schools,000 - 20,Co-Education,Eepuru,
guntur,/school/guntur/bhashyam-educational-institutions-guntur,https://yellowslate.com/school/guntur/bhashyam-educational-institutions-guntur,Bhashyam Educational Institutions - Guntur ,0,86,0,+919513238818,State Board,,Boarding Schools,,Girls,Guntur,
