city,slug,url,name,rating,views,reviews_count,phone,board,established,category,gender,locality,images
haridwar,/school/haridwar/acharyakulam-panchayanpur,https://yellowslate.com/school/haridwar/acharyakulam-panchayanpur,Acharyakulam - Panchayanpur ,0,134,0,+919513238818,CBSE,2013,Boarding Schools,Co-Education,Panchayanpur,
haridwar,/school/haridwar/nirmal-ashram-deepmala-pagarani-public-school-bhalla-farm,https://yellowslate.com/school/haridwar/nirmal-ashram-deepmala-pagarani-public-school-bhalla-farm,Nirmal Ashram Deepmala Pagarani Public school - Bhalla Farm ,0,93,0,+919513238818,CBSE,1997,Boarding Schools,Co-Education,Bhalla Farm,
