city,slug,url,name,rating,views,reviews_count,phone,board,established,category,gender,locality,images
kochi,/school/kochi/the-choice-school-karingachiraambalamugal,https://yellowslate.com/school/kochi/the-choice-school-karingachiraambalamugal,"The Choice School - Karingachira,Ambalamugal ",0,174,0,+919513238818,CBSE,1991,Boarding Schools,Co-Education,"Karingachira,Ambalamugal",
kochi,/school/kochi/toc-h-public-school-vyttila,https://yellowslate.com/school/kochi/toc-h-public-school-vyttila,Toc H Public school - Vyttila ,4.1,169,90,+919513238818,"CBSE, ICSE",1978,Boarding Schools,Co-Education,Vyttila,
kochi,/school/kochi/prabhath-residential-public-school-pallikkara,https://yellowslate.com/school/kochi/prabhath-residential-public-school-pallikkara,Prabhath Residential Public School - Pallikkara ,0,158,0,+919513238818,CBSE,1995,Boarding Schools,Co-Education,Pallikkara,
kochi,/school/kochi/global-public-school-thiruvankulam,https://yellowslate.com/school/kochi/global-public-school-thiruvankulam,Global Public School - Thiruvankulam ,4.3,127,97,+919513238818,"CBSE, IB",,Boarding Schools,Co-Education,Thiruvankulam,
