city,slug,url,name,rating,views,reviews_count,phone,board,established,category,gender,locality,images
amritsar,/school/amritsar/miri-piri-academy-amritsar,https://yellowslate.com/school/amritsar/miri-piri-academy-amritsar,Miri Piri Academy - Amritsar ,0,160,0,+919513238818,IGCSE,1997,Boarding Schools,Co-Education,Amritsar,
amritsar,/school/amritsar/delhi-public-school-manawala,https://yellowslate.com/school/amritsar/delhi-public-school-manawala,DELHI PUBLIC SCHOOL - MANAWALA ,0,138,0,+919513238818,CBSE,2003,Boarding Schools,Co-Education,MANAWALA,
