city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
kanpur,/school/kanpur/the-jain-international-school-kalyanpur,https://yellowslate.com/school/kanpur/the-jain-international-school-kalyanpur,THE JAIN INTERNATIONAL SCHOOL - Kalyanpur ,0,137,0,+919513238818,CBSE,2004,Boarding Schools,080 - 44,Co-Education,Kalyanpur,
kanpur,/school/kanpur/dayanand-dinanath-education-centre-ramaipur,https://yellowslate.com/school/kanpur/dayanand-dinanath-education-centre-ramaipur,DAYANAND DINANATH EDUCATION CENTRE - RAMAIPUR ,0,117,0,+919513238818,CBSE,2003,Boarding Schools,000 - 144,Co-Education,RAMAIPUR,
kanpur,/school/kanpur/footprints-play-school-day-care-creche-preschool-in-swaroop-nagar-kanpur-kalyanpur,https://yellowslate.com/school/kanpur/footprints-play-school-day-care-creche-preschool-in-swaroop-nagar-kanpur-kalyanpur,"Footprints: Play School & Day Care Creche, Preschool in Swaroop Nagar, Kanpur - Kalyanpur ",0,0,0,+919513238818,Other Boards,2012,Play Schools,249-250,Co-Education,Kalyanpur,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
