city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
sirsa,/school/sirsa/gdgoenka-global-school-hisar,https://yellowslate.com/school/sirsa/gdgoenka-global-school-hisar,G.D.GOENKA GLOBAL SCHOOL - Hisar ,0,152,0,+919513238818,CBSE,2015,Boarding Schools,000 - 32,Co-Education,Hisar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
sirsa,/school/sirsa/shah-satnam-ji-boys-school-shri-gurusar-modia,https://yellowslate.com/school/sirsa/shah-satnam-ji-boys-school-shri-gurusar-modia,Shah Satnam Ji Boys School - Shri Gurusar Modia ,0,142,0,+919513238818,CBSE,1996,Boarding Schools,,Boys,Shri Gurusar Modia,
sirsa,/school/sirsa/saint-msg-glorious-international-school-begu,https://yellowslate.com/school/sirsa/saint-msg-glorious-international-school-begu,Saint MSG Glorious International School - Begu ,0,133,0,+919513238818,IGCSE,2009,Boarding Schools,,Co-Education,Begu,
sirsa,/school/sirsa/satluj-public-school-ellenabad,https://yellowslate.com/school/sirsa/satluj-public-school-ellenabad,Satluj Public School - Ellenabad ,0,133,0,+919513238818,CBSE,1986,Boarding Schools,,Co-Education,Ellenabad,
sirsa,/school/sirsa/northern-international-school-hisar,https://yellowslate.com/school/sirsa/northern-international-school-hisar,Northern International School - Hisar ,0,110,0,+919513238818,CBSE,2008,Boarding Schools,000 - 40,Co-Education,Hisar,https://yellowslate.com/_next/image?url=https%3A%2F%2Fyellowslate.sgp1.cdn.digitaloceanspaces.com%2Fschools%2Fthumb.png&w=1200&q=75
sirsa,/school/sirsa/shah-satnam-ji-girls-school-sukh-sagar-colony,https://yellowslate.com/school/sirsa/shah-satnam-ji-girls-school-sukh-sagar-colony,Shah Satnam Ji Girls School - Sukh Sagar Colony ,0,103,0,+919513238818,CBSE,1992,Boarding Schools,,Girls,Sukh Sagar Colony,
