city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
vijayawada,/school/vijayawada/delhi-public-school-nidamanuru,https://yellowslate.com/school/vijayawada/delhi-public-school-nidamanuru,Delhi Public School - Nidamanuru ,0,152,0,+919513238818,CBSE,1949,Boarding Schools,000 - 80,Co-Education,Nidamanuru,
vijayawada,/school/vijayawada/viswabharathi-wisewoods-international-school-village-pedparapudi-mandal,https://yellowslate.com/school/vijayawada/viswabharathi-wisewoods-international-school-village-pedparapudi-mandal,VISWABHARATHI WISEWOODS INTERNATIONAL SCHOOL - VILLAGE PEDPARAPUDI MANDAL ,0,137,0,+919513238818,CBSE,2016,Boarding Schools,,Co-Education,VILLAGE PEDPARAPUDI MANDAL,
vijayawada,/school/vijayawada/shree-swaminarayan-gurukul-international-school-kachavaram,https://yellowslate.com/school/vijayawada/shree-swaminarayan-gurukul-international-school-kachavaram,Shree Swaminarayan Gurukul International School - Kachavaram ,0,131,0,+919513238818,CBSE,,Boarding Schools,000 - 103,Boys,Kachavaram,
vijayawada,/school/vijayawada/chigurupati-shri-krishnaveni-cbse-school-poranki,https://yellowslate.com/school/vijayawada/chigurupati-shri-krishnaveni-cbse-school-poranki,Chigurupati Shri KrishnaVeni CBSE School - Poranki ,0,107,0,+919513238818,CBSE,,Boarding Schools,000 - 64,Co-Education,Poranki,
vijayawada,/school/vijayawada/kcp-siddhartha-adarsh-residential-public-school-sri-ramachandra-nagar,https://yellowslate.com/school/vijayawada/kcp-siddhartha-adarsh-residential-public-school-sri-ramachandra-nagar,K.C.P. Siddhartha Adarsh Residential Public School - Sri Ramachandra Nagar ,0,106,0,+919513238818,CBSE,1989,Boarding Schools,000 - 78,Co-Education,Sri Ramachandra Nagar,
vijayawada,/school/vijayawada/slate-the-school-vijayawada-vishnupuram-colony,https://yellowslate.com/school/vijayawada/slate-the-school-vijayawada-vishnupuram-colony,Slate The School- Vijayawada - Vishnupuram Colony ,0,59,0,+919513238818,State Board,2001,Boarding Schools,Nursery - 10,Co-Education,Vijayawada - Vishnupuram Colony,
vijayawada,/school/vijayawada/slate-the-school-gannavaram-gannavaram,https://yellowslate.com/school/vijayawada/slate-the-school-gannavaram-gannavaram,Slate The School - Gannavaram - Gannavaram ,0,53,0,+919513238818,CBSE,2001,Public Schools,Nursery - 12,Co-Education,Gannavaram - Gannavaram,
