city,slug,url,name,rating,views,reviews_count,phone,board,established,category,gender,locality,images
gorakhpur,/school/gorakhpur/vikas-bharti-school-tinkonia,https://yellowslate.com/school/gorakhpur/vikas-bharti-school-tinkonia,Vikas Bharti School - Tinkonia ,0,121,0,+919513238818,ICSE,1995,Boarding Schools,Co-Education,Tinkonia,
gorakhpur,/school/gorakhpur/gd-goenka-public-school-deoria,https://yellowslate.com/school/gorakhpur/gd-goenka-public-school-deoria,GD GOENKA PUBLIC SCHOOL - DEORIA ,0,119,0,+919513238818,CBSE,2015,Boarding Schools,Co-Education,DEORIA,
