city,slug,url,name,rating,views,reviews_count,phone,board,established,category,classes,gender,locality,images
ambala,/school/ambala/mminternational-school-mullana,https://yellowslate.com/school/ambala/mminternational-school-mullana,M.M.INTERNATIONAL SCHOOL - Mullana ,0,306,0,+919513238818,CBSE,2007,Boarding Schools,000 - 60,Co-Education,Mullana,
ambala,/school/ambala/chaman-vatika-gurukul-lohgarh,https://yellowslate.com/school/ambala/chaman-vatika-gurukul-lohgarh,Chaman Vatika Gurukul - Lohgarh ,0,133,0,+919513238818,CBSE,1991,Boarding Schools,,Girls,Lohgarh,
ambala,/school/ambala/springfield-public-school-patti-rangran,https://yellowslate.com/school/ambala/springfield-public-school-patti-rangran,Springfield Public School - Patti Rangran ,0,101,0,+919513238818,CBSE,1996,Boarding Schools,,Co-Education,Patti Rangran,
