Serial,City,School Name
161,mumbai,Cheerful Mind Academy
162,mumbai,"Chembur English High School - Chembur Gaothan,Chembur East"
163,mumbai,CHILDREN PUBLIC ENGLISH SCHOOL
164,mumbai,CHILDREN WELFARE HIGH SCHOOL
165,mumbai,Childrens Academy
166,mumbai,Children’s Academy
167,mumbai,Childrens Academy
168,mumbai,Children's Nook
169,mumbai,Chinmaya Nursery School
170,mumbai,Chinmaya Nursery School
171,mumbai,CHINMAYA VIDYALAYA
172,mumbai,Chitter Chatter Pre School
173,mumbai,Chitter Chatter Pre School
174,mumbai,Christ Church School
175,mumbai,Citizen English High School
176,mumbai,"City International School - Anand Nagar,Andheri West"
177,mumbai,City International School
178,mumbai,Cocoon Preschool
179,mumbai,Cocoon Preschool
180,mumbai,Cocoon Preschool
181,mumbai,Convent Girls High School
182,mumbai,Convent of Jesus and Mary School
183,mumbai,Convent of Jesus & Mary School
184,mumbai,Corvuss American Academy
185,mumbai,Cosmopolitan Primary School
186,mumbai,Cosmos English School
187,mumbai,Cosmos High School
188,mumbai,COURAGE ENGLISH HIGH SCHOOL
189,mumbai,Covo Del Bambino
190,mumbai,CP Goenka International School
191,mumbai,C.P Goenka International School
192,mumbai,CP Goenka International School
193,mumbai,CP Goenka International School
194,mumbai,CP Goenka International School
195,mumbai,CP GOENKA INTERNATIONAL SCHOOL
196,mumbai,CSM English High School
197,mumbai,Cubs Gurukul Preschool
198,mumbai,Cumballa Hill High School - Cumballa Hill
199,mumbai,Cumballa Hill High School
200,mumbai,D A V International School
201,mumbai,"D A V International School - Sector 16,Kharghar"
202,mumbai,D A V Public School
203,mumbai,D A V PUBLIC SCHOOL
204,mumbai,D. G. Khetan International School
205,mumbai,D. J. DOSHI GURUKUL ENGLISH HIGH SCHOOL - Ghatkopar East
206,mumbai,D Y Patil International School
207,mumbai,D Y Patil International School
208,mumbai,Da Vinci Montessori
209,mumbai,"DAFFODIL ENGLISH SCHOOL - Phase 1,Shivaji Nagar"
210,mumbai,Daffodils High Public School
211,mumbai,Datta Meghe World Academy
212,mumbai,Datta Meghe World Academy
213,mumbai,DAV International School
214,mumbai,D.A.V Public School
215,mumbai,Dav Public School
216,mumbai,DAV Public School - Panvel
217,mumbai,DAV Public School
218,mumbai,DAYASAGAR HIGH SCHOOL
219,mumbai,Deeksha playschool
